Id;ModeloCarro;DeviceId;ChargeType;DurationTicks;StartStateOfCharge;EndStateOfCharge;MeasuredBatteryEnergyInKwh;PeakPowerKw;DeltaSOC;DurationHours;valor_predito;confian�aa;MeasuredBatteryEnergyInKwh_Predict;Hit_Rate
0;KANGOO Z.E. MAXI 5 LUGARES 2P;b48F;AC;5650500000;58,00012207;61;0,939999998;;41,99987793;0,156958333;-65536;-65536;-65536;-65536
1;KANGOO Z.E. MAXI 5 LUGARES 2P;b48F;AC;5650500000;58,00012207;61;0,939999998;;41,99987793;0,156958333;-65536;-65536;-65536;-65536
2;KANGOO Z.E. MAXI 2 LUGARES 2P;b719;AC;8809270000;70;75;1,470000029;-0,545454562;30;0,244701944;-65536;-65536;3,424014076;0,696446431
3;KANGOO Z.E. MAXI 2 LUGARES 2P;b1101;AC;41802070000;54,00161743;54,00161743;0;-1,213636398;45,99838257;1,161168611;-65536;-65536;6,161035055;0,696446431
4;KANGOO Z.E. MAXI 2 LUGARES 2P;b895;AC;23689370000;53;53;0;-38,28295517;47;0,658038056;-65536;-65536;4,658439341;0,696446431
5;KANGOO Z.E. MAXI 2 LUGARES 2P;b22F;AC;21043400000;31;42;3,559999943;-0,507954538;69;0,584538889;-65536;-65536;4,438934619;0,696446431
6;KANGOO Z.E. MAXI 2 LUGARES 2P;b22F;AC;21043400000;31;42;3,559999943;-0,507954538;69;0,584538889;-65536;-65536;4,438934619;0,696446431
7;E- SCUDO 4P;b112A;AC;23498900000;55,75;60,625;3,210000038;-0,090909094;44,25;0,652747222;-65536;-65536;4,041184344;0,748404697
8;E- SCUDO 4P;b112A;AC;23498900000;55,75;60,625;3,210000038;-0,090909094;44,25;0,652747222;-65536;-65536;4,041184344;0,748404697
9;E-JUMPY;bC87;AC;14595930000;53;56,75;2,210000038;-0,453409106;47;0,4054425;-65536;-65536;4,014848078;0,716507305
10;JAC IEV1200T AT 4X2 2P;b2E6;AC;27286100000;39,5;44;4,46999979;;60,5;0,757947222;-65536;-65536;4,275575936;0,965379758
11;JAC IEV1200T AT 4X2 2P;b2E6;AC;27286100000;39,5;44;4,46999979;;60,5;0,757947222;-65536;-65536;4,275575936;0,965379758
12;JAC IEV1200T AT 4X2 2P;b2E6;DC;26400000;39,5;39,5;0;;60,5;0,000733333;-65536;-65536;-0,017055947;0,438444424
13;JAC IEV1200T AT 4X2 2P;b2E6;DC;26400000;39,5;39,5;0;;60,5;0,000733333;-65536;-65536;-0,017055947;0,438444424
14;JAC IEV1200T AT 4X2 2P;b2E6;DC;100630000;39,5;39,5;0;;60,5;0,002795278;-65536;-65536;0,005115387;0,438444424
15;JAC IEV1200T AT 4X2 2P;b2E6;DC;100630000;39,5;39,5;0;;60,5;0,002795278;-65536;-65536;0,005115387;0,438444424
16;JAC IEV1200T AT 4X2 2P;b2E6;DC;65570000;39,5;39,5;0;;60,5;0,001821389;-65536;-65536;-0,005356484;0,438444424
17;JAC IEV1200T AT 4X2 2P;b2E6;DC;65570000;39,5;39,5;0;;60,5;0,001821389;-65536;-65536;-0,005356484;0,438444424
18;JAC IEV1200T AT 4X2 2P;b2E8;AC;7233900000;69;70,5;1,179999948;-0,565909088;31;0,200941667;-65536;-65536;1,126067064;0,965379758
19;KANGOO Z.E. MAXI 2 LUGARES 2P;b114F;AC;229770000;63;63;0,01;-1,564772725;37;0,0063825;-65536;-65536;2,712274803;0,696446431
20;KANGOO Z.E. MAXI 2 LUGARES 2P;b114F;AC;229770000;63;63;0,01;-1,564772725;37;0,0063825;-65536;-65536;2,712274803;0,696446431
21;JAC IEV1200T AT 4X2 2P;b2E5;AC;49360730000;59,5;67,5;7,760000229;-0,253409088;40,5;1,371131389;-65536;-65536;7,742738793;0,965379758
22;JAC IEV1200T AT 4X2 2P;b2E5;AC;49360730000;59,5;67,5;7,760000229;-0,253409088;40,5;1,371131389;-65536;-65536;7,742738793;0,965379758
23;JAC IEV1200T AT 4X2 2P;b2E5;DC;70270000;59,5;59,5;0;-1,049000025;40,5;0,001951944;-65536;-65536;-0,003952668;0,438444424
24;JAC IEV1200T AT 4X2 2P;b2E5;DC;70270000;59,5;59,5;0;-1,049000025;40,5;0,001951944;-65536;-65536;-0,003952668;0,438444424
25;E-JUMPY;b952;AC;33945830000;93,375;97,8732605;3,75;-0,552272737;6,625;0,942939722;-65536;-65536;5,865817466;0,716507305
26;KANGOO Z.E. MAXI 2 LUGARES 2P;b1288;AC;88605830000;55;100;14,43000031;-0,224999994;45;2,461273056;-65536;-65536;10,04378744;0,696446431
27;KANGOO Z.E. MAXI 2 LUGARES 2P;b1288;AC;18600000;55;55;0;-2,152272701;45;0,000516667;-65536;-65536;2,694756535;0,696446431
28;KANGOO Z.E. MAXI 2 LUGARES 2P;b712;AC;77833430000;67,00309753;80;3,869999886;-0,623863637;32,99690247;2,162039722;-65536;-65536;9,150129288;0,696446431
29;E-EXPERT;bF24;AC;19077730000;56,875;58,25;0,75;-0,457954556;43,125;0,529936944;-65536;-65536;4,129742577;0,650632105
30;E-JUMPY;bC85;AC;62623000000;34,125;42,625;4,960000038;-0,402272731;65,875;1,739527778;-65536;-65536;8,609013235;0,716507305
31;E-JUMPY;bC85;AC;62623000000;34,125;42,625;4,960000038;-0,402272731;65,875;1,739527778;-65536;-65536;8,609013235;0,716507305
32;KANGOO Z.E. MAXI 2 LUGARES 2P;b10F1;AC;43330400000;83;100;6,25;-0,345454544;17;1,203622222;-65536;-65536;6,287822453;0,696446431
33;KANGOO Z.E. MAXI 2 LUGARES 2P;b11AA;AC;34515770000;86;100;5,239999771;-0,654545426;14;0,958771389;-65536;-65536;5,556577235;0,696446431
34;PARTNER RAPID BUSINESS PACK - MOTOR 1.4;b101A;AC;71530000;100;100;0;-0,150000006;0;0,001986944;-65536;-65536;-65536;-65536
35;JAC IEV1200T AT 4X2 2P;b738;DC;48998400000;59;100;42,58000183;;41;1,361066667;-65536;-65536;14,61011095;0,438444424
36;JAC IEV1200T AT 4X2 2P;b738;DC;66900000;59;59;0;-1,156000018;41;0,001858333;-65536;-65536;-0,004959234;0,438444424
37;E-EXPERT;bF26;AC;639400000;100;100;0,01;-2,555681705;0;0,017761111;-65536;-65536;2,584006266;0,650632105
38;PARTNER RAPID BUSINESS PACK - MOTOR 1.4;b101A;AC;990400000;100;100;0;-0,150000006;0;0,027511111;-65536;-65536;-65536;-65536
39;PARTNER RAPID BUSINESS PACK - MOTOR 1.4;b101A;AC;5703130000;100;100;0;-0,552272737;0;0,158420278;-65536;-65536;-65536;-65536
40;KANGOO Z.E. MAXI 2 LUGARES 2P;b1129;AC;9767500000;98;100;1,059999943;-0,224999994;2;0,271319444;-65536;-65536;3,503507045;0,696446431
41;KANGOO Z.E. MAXI 2 LUGARES 2P;b1129;AC;9767500000;98;100;1,059999943;-0,224999994;2;0,271319444;-65536;-65536;3,503507045;0,696446431
42;E- SCUDO 4P;b1208;AC;447800000;94;94;0,039999999;-0,551136374;6;0,012438889;-65536;-65536;2,085002721;0,748404697
43;E- SCUDO 4P;b1208;AC;447800000;94;94;0,039999999;-0,551136374;6;0,012438889;-65536;-65536;2,085002721;0,748404697
44;E-JUMPY;b101E;AC;19601670000;51,625;54,375;1,519999981;-0,090909094;48,375;0,544490833;-65536;-65536;4,493686289;0,716507305
45;E-JUMPY;b101E;AC;19601670000;51,625;54,375;1,519999981;-0,090909094;48,375;0,544490833;-65536;-65536;4,493686289;0,716507305
46;E- SCUDO 4P;b11CF;AC;507470000;100;100;0;-0,152272731;0;0,014096389;-65536;-65536;2,090066486;0,748404697
47;E- SCUDO 4P;b11CF;AC;507470000;100;100;0;-0,152272731;0;0,014096389;-65536;-65536;2,090066486;0,748404697
48;KANGOO Z.E. MAXI 2 LUGARES 2P;bE74;AC;66162870000;25;43;5,489999771;-0,392045468;75;1,8378575;-65536;-65536;8,181961459;0,696446431
49;KANGOO Z.E. MAXI 2 LUGARES 2P;bE74;AC;66162870000;25;43;5,489999771;-0,392045468;75;1,8378575;-65536;-65536;8,181961459;0,696446431
50;ZOE;b10F8;DC;10861830000;22,74431229;47,84497833;0;-45,0909996;77,25568771;0,3017175;-65536;-65536;-65536;-65536
51;ZOE;b10F8;DC;10861830000;22,74431229;47,84497833;0;-45,0909996;77,25568771;0,3017175;-65536;-65536;-65536;-65536
52;KANGOO Z.E. MAXI 2 LUGARES 2P;b40F;AC;1,4175E+11;30;99;22,27000046;-0,134090915;70;3,9375075;-65536;-65536;14,45255078;0,696446431
53;E- SCUDO 4P;b1270;AC;56841070000;93,125;100;5,909999847;-0,550000012;6,875;1,578918611;-65536;-65536;6,87069531;0,748404697
54;E- SCUDO 4P;b1270;AC;56841070000;93,125;100;5,909999847;-0,550000012;6,875;1,578918611;-65536;-65536;6,87069531;0,748404697
55;KANGOO Z.E. MAXI 2 LUGARES 2P;b10D7;AC;10399800000;85;91;1,590000033;-0,434090912;15;0,288883333;-65536;-65536;3,55596147;0,696446431
56;KANGOO Z.E. MAXI 2 LUGARES 2P;b10D7;AC;10399800000;85;91;1,590000033;-0,434090912;15;0,288883333;-65536;-65536;3,55596147;0,696446431
57;KANGOO Z.E. MAXI 2 LUGARES 2P;b9E1;AC;5955200000;81;83,99997711;0,939999998;-0,4284091;19;0,165422222;-65536;-65536;3,187245767;0,696446431
58;KANGOO Z.E. MAXI 2 LUGARES 2P;b9E1;AC;5955200000;81;83,99997711;0,939999998;-0,4284091;19;0,165422222;-65536;-65536;3,187245767;0,696446431
59;KANGOO Z.E. MAXI 2 LUGARES 2P;b10D7;AC;1699870000;84;85;0,289999992;-3,454545498;16;0,047218611;-65536;-65536;2,83423155;0,696446431
60;KANGOO Z.E. MAXI 2 LUGARES 2P;b10D7;AC;1699870000;84;85;0,289999992;-3,454545498;16;0,047218611;-65536;-65536;2,83423155;0,696446431
61;KANGOO Z.E. MAXI 2 LUGARES 2P;b1177;AC;1,0913E+11;41;100;18,07999992;-0,197727278;59;3,031381389;-65536;-65536;11,7464118;0,696446431
62;KANGOO Z.E. MAXI 2 LUGARES 2P;b40B;AC;44477630000;51;74;7,059999943;-0,522727251;49;1,235489722;-65536;-65536;6,382994508;0,696446431
63;KANGOO Z.E. MAXI 2 LUGARES 2P;b40B;AC;44477630000;51;74;7,059999943;-0,522727251;49;1,235489722;-65536;-65536;6,382994508;0,696446431
64;KANGOO Z.E. MAXI 2 LUGARES 2P;b23D;AC;1544530000;94;95;0,239999995;-0,44204545;6;0,042903611;-65536;-65536;2,821344834;0,696446431
65;KANGOO Z.E. MAXI 2 LUGARES 2P;b23D;AC;1544530000;94;95;0,239999995;-0,44204545;6;0,042903611;-65536;-65536;2,821344834;0,696446431
66;JAC IEV1200T AT 4X2 2P;bA38;AC;15230000;100;100;0;;0;0,000423056;-65536;-65536;-0,007736969;0,965379758
67;JAC IEV1200T AT 4X2 2P;bA38;AC;15230000;100;100;0;;0;0,000423056;-65536;-65536;-0,007736969;0,965379758
68;E-EXPERT;b1265;AC;237030000;100;100;0;-0,151136369;0;0,006584167;-65536;-65536;2,550274474;0,650632105
69;E-EXPERT;b1265;AC;237030000;100;100;0;-0,151136369;0;0,006584167;-65536;-65536;2,550274474;0,650632105
70;KANGOO Z.E. MAXI 2 LUGARES 2P;b1E5;AC;670200000;24;24;0,100000001;-0,510227263;76;0,018616667;-65536;-65536;2,748812052;0,696446431
71;KANGOO Z.E. MAXI 2 LUGARES 2P;b1E5;AC;670200000;24;24;0,100000001;-0,510227263;76;0,018616667;-65536;-65536;2,748812052;0,696446431
72;KANGOO Z.E. MAXI 2 LUGARES 2P;b1290;AC;4188800000;100;100;0,239999995;-0,360227287;0;0,116355556;-65536;-65536;3,040708527;0,696446431
73;E-JUMPY;bFAA;AC;17696330000;98,25;100;1,149999976;-0,550000012;1,75;0,491564722;-65536;-65536;4,311425605;0,716507305
74;E-JUMPY;bFAA;AC;17696330000;98,25;100;1,149999976;-0,550000012;1,75;0,491564722;-65536;-65536;4,311425605;0,716507305
75;KANGOO Z.E. MAXI 2 LUGARES 2P;b1E5;AC;1390200000;23;24;0,209999993;;77;0,038616667;-65536;-65536;2,808541906;0,696446431
76;KANGOO Z.E. MAXI 2 LUGARES 2P;b1E5;AC;1390200000;23;24;0,209999993;;77;0,038616667;-65536;-65536;2,808541906;0,696446431
77;E-JUMPY;bC8C;AC;1,50491E+11;7,25;27,625;11,72999954;-0,395454556;92,75;4,180301944;-65536;-65536;17,01426275;0,716507305
78;KANGOO Z.E. MAXI 2 LUGARES 2P;b10F1;AC;1,04656E+11;19,00043869;83;19,62000084;-1,276136398;80,99956131;2,907120278;-65536;-65536;11,3753069;0,696446431
79;KANGOO Z.E. MAXI 2 LUGARES 2P;b11AA;AC;1,03546E+11;29;86;17,18000031;;71;2,876274167;-65536;-65536;11,28318522;0,696446431
80;KANGOO Z.E. MAXI 2 LUGARES 2P;b11AA;AC;1,03546E+11;29;86;17,18000031;;71;2,876274167;-65536;-65536;11,28318522;0,696446431
81;KANGOO Z.E. MAXI 2 LUGARES 2P;b9E1;AC;20531170000;73;84,00154114;3,470000029;;27;0,570310278;-65536;-65536;4,396440976;0,696446431
82;KANGOO Z.E. MAXI 2 LUGARES 2P;b9E1;AC;20531170000;73;84,00154114;3,470000029;;27;0,570310278;-65536;-65536;4,396440976;0,696446431
83;KANGOO Z.E. MAXI 2 LUGARES 2P;b9E1;AC;2291560000;72;73;0,349999994;-0,547727287;28;0,063654444;-65536;-65536;2,883317045;0,696446431
84;KANGOO Z.E. MAXI 2 LUGARES 2P;b1178;AC;60437900000;74;100;9,25;;26;1,678830556;-65536;-65536;7,707028655;0,696446431
85;KANGOO Z.E. MAXI 2 LUGARES 2P;b1178;AC;60437900000;74;100;9,25;;26;1,678830556;-65536;-65536;7,707028655;0,696446431
86;KANGOO Z.E. MAXI 2 LUGARES 2P;b1178;AC;979470000;74;74;0,129999995;;26;0,0272075;-65536;-65536;2,774468513;0,696446431
87;KANGOO Z.E. MAXI 2 LUGARES 2P;b1178;AC;979470000;74;74;0,129999995;;26;0,0272075;-65536;-65536;2,774468513;0,696446431
88;KANGOO Z.E. MAXI 2 LUGARES 2P;b1178;AC;79670000;73,98453522;74;0;-0,211363643;26,01546478;0,002213056;-65536;-65536;2,699822788;0,696446431
89;KANGOO Z.E. MAXI 2 LUGARES 2P;b1178;AC;79670000;73,98453522;74;0;-0,211363643;26,01546478;0,002213056;-65536;-65536;2,699822788;0,696446431
90;KANGOO Z.E. MAXI 2 LUGARES 2P;b1E5;AC;12590270000;16;23;2,160000086;;84;0,349729722;-65536;-65536;3,737678764;0,696446431
91;KANGOO Z.E. MAXI 2 LUGARES 2P;b1E5;AC;12590270000;16;23;2,160000086;;84;0,349729722;-65536;-65536;3,737678764;0,696446431
92;KANGOO Z.E. MAXI 2 LUGARES 2P;b1E5;AC;310670000;16;16;0,029999999;;84;0,008629722;-65536;-65536;2,718986116;0,696446431
93;KANGOO Z.E. MAXI 2 LUGARES 2P;b1E5;AC;310670000;16;16;0,029999999;;84;0,008629722;-65536;-65536;2,718986116;0,696446431
94;E-EXPERT;b10A4;AC;1,02947E+11;88,875;100;7,420000076;-0,543181837;11,125;2,859635278;-65536;-65536;11,16072505;0,650632105
95;E-EXPERT;b10A4;AC;1,02947E+11;88,875;100;7,420000076;-0,543181837;11,125;2,859635278;-65536;-65536;11,16072505;0,650632105
96;KANGOO Z.E. MAXI 2 LUGARES 2P;b11AA;AC;20956130000;17;29;3,619999886;-0,385227263;83;0,582114722;-65536;-65536;4,431694863;0,696446431
97;KANGOO Z.E. MAXI 2 LUGARES 2P;b11AA;AC;20956130000;17;29;3,619999886;-0,385227263;83;0,582114722;-65536;-65536;4,431694863;0,696446431
98;E-JUMPY;b101E;AC;61519530000;59,5;63,5;2,569999933;-0,093181819;40,5;1,708875833;-65536;-65536;8,503457693;0,716507305
99;E-JUMPY;b101E;AC;61519530000;59,5;63,5;2,569999933;-0,093181819;40,5;1,708875833;-65536;-65536;8,503457693;0,716507305
100;KANGOO Z.E. MAXI 2 LUGARES 2P;b1E5;AC;17560600000;6;16;3,079999924;-30,60568237;94;0,487794444;-65536;-65536;4,150008045;0,696446431
101;KANGOO Z.E. MAXI 2 LUGARES 2P;b1E5;AC;17560600000;6;16;3,079999924;-30,60568237;94;0,487794444;-65536;-65536;4,150008045;0,696446431
102;E- SCUDO 4P;b1208;AC;89207729999;77;94;11,81999969;-0,530681789;23;2,4779925;-65536;-65536;9,617421735;0,748404697
103;E- SCUDO 4P;b1208;AC;89207729999;77;94;11,81999969;-0,530681789;23;2,4779925;-65536;-65536;9,617421735;0,748404697
104;JAC IEV1200T AT 4X2 2P;bA38;DC;44954240000;58;100;44,54999924;;42;1,248728889;-65536;-65536;13,4021839;0,438444424
105;JAC IEV1200T AT 4X2 2P;bA38;DC;44954240000;58;100;44,54999924;;42;1,248728889;-65536;-65536;13,4021839;0,438444424
106;JAC IEV1200T AT 4X2 2P;bA38;DC;63470000;58;58;0;-0,550000012;42;0,001763056;-65536;-65536;-0,005983721;0,438444424
107;JAC IEV1200T AT 4X2 2P;bA38;DC;63470000;58;58;0;-0,550000012;42;0,001763056;-65536;-65536;-0,005983721;0,438444424
108;JAC IEV1200T AT 4X2 2P;b610;DC;23830000;100;100;0;;0;0,000661944;-65536;-65536;-0,017823566;0,438444424
109;KANGOO Z.E. MAXI 2 LUGARES 2P;bE75;AC;9700700000;100;100;0,660000026;-0,447727263;0;0,269463889;-65536;-65536;3,497965442;0,696446431
110;KANGOO Z.E. MAXI 2 LUGARES 2P;bE75;AC;9700700000;100;100;0,660000026;-0,447727263;0;0,269463889;-65536;-65536;3,497965442;0,696446431
111;JAC IEV1200T AT 4X2 2P;b1138;DC;15832770000;79,5;100;21,21999931;;20,5;0,439799167;-65536;-65536;4,704058403;0,438444424
112;JAC IEV1200T AT 4X2 2P;b1138;DC;15832770000;79,5;100;21,21999931;;20,5;0,439799167;-65536;-65536;4,704058403;0,438444424
113;KANGOO Z.E. MAXI 2 LUGARES 2P;b40C;AC;32561570000;52;70;5,579999924;-0,401136369;48;0,904488056;-65536;-65536;5,394460458;0,696446431
114;KANGOO Z.E. MAXI 2 LUGARES 2P;b40C;AC;32561570000;52;70;5,579999924;-0,401136369;48;0,904488056;-65536;-65536;5,394460458;0,696446431
115;E-JUMPY;b907;AC;12529300000;82,5;86,875;2,859999895;-0,544318199;17,5;0,348036111;-65536;-65536;3,817158743;0,716507305
116;E-JUMPY;b907;AC;12529300000;82,5;86,875;2,859999895;-0,544318199;17,5;0,348036111;-65536;-65536;3,817158743;0,716507305
117;E-JUMPY;bC8B;AC;1,6585E+11;82;97,87487793;12,62933922;-0,535227299;18;4,606945278;-65536;-65536;18,48348662;0,716507305
118;E-JUMPY;bC8B;AC;1,6585E+11;82;97,87487793;12,62933922;-0,535227299;18;4,606945278;-65536;-65536;18,48348662;0,716507305
119;KANGOO Z.E. MAXI 2 LUGARES 2P;bAAD;AC;58480370000;75;100;8,680000305;-0,135227278;25;1,624454722;-65536;-65536;7,544635628;0,696446431
120;E-JUMPY;b907;AC;6865000000;80;82,5;1,629999995;-0,145454541;20;0,190694444;-65536;-65536;3,275324113;0,716507305
121;E-JUMPY;b907;AC;6865000000;80;82,5;1,629999995;-0,145454541;20;0,190694444;-65536;-65536;3,275324113;0,716507305
122;KANGOO Z.E. MAXI 2 LUGARES 2P;b400;AC;41771400000;23;45,00001144;7,070000172;;77;1,160316667;-65536;-65536;6,158490729;0,696446431
123;KANGOO Z.E. MAXI 2 LUGARES 2P;b400;AC;41771400000;23;45,00001144;7,070000172;;77;1,160316667;-65536;-65536;6,158490729;0,696446431
124;KANGOO Z.E. MAXI 2 LUGARES 2P;b7E4;AC;340570000;67;67,00115204;0,029999999;;33;0,009460278;-65536;-65536;2,721466564;0,696446431
125;KANGOO Z.E. MAXI 2 LUGARES 2P;b7E4;AC;340570000;67;67,00115204;0,029999999;;33;0,009460278;-65536;-65536;2,721466564;0,696446431
126;E- SCUDO 4P;b11CF;AC;1,24229E+11;90,5;100;7,099999905;-0,152272731;9,5;3,450814722;-65536;-65536;12,58945389;0,748404697
127;E- SCUDO 4P;b11CF;AC;1,24229E+11;90,5;100;7,099999905;-0,152272731;9,5;3,450814722;-65536;-65536;12,58945389;0,748404697
128;KANGOO Z.E. MAXI 2 LUGARES 2P;b7E4;AC;580600000;67;67;0,07;;33;0,016127778;-65536;-65536;2,741379004;0,696446431
129;KANGOO Z.E. MAXI 2 LUGARES 2P;b7E4;AC;580600000;67;67;0,07;;33;0,016127778;-65536;-65536;2,741379004;0,696446431
130;KANGOO Z.E. MAXI 2 LUGARES 2P;bCFA;AC;1,4947E+11;64;100;12,56000042;-0,535227299;36;4,151955556;-65536;-65536;15,09299833;0,696446431
131;KANGOO Z.E. MAXI 2 LUGARES 2P;bCFA;AC;1,4947E+11;64;100;12,56000042;-0,535227299;36;4,151955556;-65536;-65536;15,09299833;0,696446431
132;KANGOO Z.E. MAXI 2 LUGARES 2P;b235;AC;1847470000;87;88;0,310000002;;13;0,051318611;-65536;-65536;2,84647617;0,696446431
133;KANGOO Z.E. MAXI 2 LUGARES 2P;b235;AC;1847470000;87;88;0,310000002;;13;0,051318611;-65536;-65536;2,84647617;0,696446431
134;KANGOO Z.E. MAXI 2 LUGARES 2P;b240;AC;36316130000;58;78;5,980000019;-0,204545453;42;1,008781389;-65536;-65536;5,705931733;0,696446431
135;KANGOO Z.E. MAXI 2 LUGARES 2P;b240;AC;36316130000;58;78;5,980000019;-0,204545453;42;1,008781389;-65536;-65536;5,705931733;0,696446431
136;KANGOO Z.E. MAXI 2 LUGARES 2P;b400;AC;8892730000;18;23;1,5;;82;0,247020278;-65536;-65536;3,430937762;0,696446431
137;KANGOO Z.E. MAXI 2 LUGARES 2P;b400;AC;8892730000;18;23;1,5;;82;0,247020278;-65536;-65536;3,430937762;0,696446431
138;KANGOO Z.E. MAXI 2 LUGARES 2P;bE76;AC;11563599999;99;100;0,819999993;-0,447727263;1;0,321211111;-65536;-65536;3,652508141;0,696446431
139;KANGOO Z.E. MAXI 2 LUGARES 2P;bE76;AC;11563599999;99;100;0,819999993;-0,447727263;1;0,321211111;-65536;-65536;3,652508141;0,696446431
140;E-EXPERT;bCF6;AC;1,38446E+11;58,5;76,875;11,43999958;-0,463636369;41,5;3,845708333;-65536;-65536;14,13667359;0,650632105
141;JAC IEV1200T AT 4X2 2P;b1138;DC;22980200000;42;79,49855042;37,77999878;;58;0,638338889;-65536;-65536;6,838883435;0,438444424
142;JAC IEV1200T AT 4X2 2P;b1138;DC;22980200000;42;79,49855042;37,77999878;;58;0,638338889;-65536;-65536;6,838883435;0,438444424
143;JAC IEV1200T AT 4X2 2P;b1138;DC;66900000;42;42;0;;58;0,001858333;-65536;-65536;-0,004959234;0,438444424
144;JAC IEV1200T AT 4X2 2P;b1138;DC;66900000;42;42;0;;58;0,001858333;-65536;-65536;-0,004959234;0,438444424
145;KANGOO Z.E. MAXI 2 LUGARES 2P;b1129;AC;54315630000;75,99942017;100;8,069999695;-0,552272737;24,00057983;1,5087675;-65536;-65536;7,199136587;0,696446431
146;KANGOO Z.E. MAXI 2 LUGARES 2P;b1129;AC;54315630000;75,99942017;100;8,069999695;-0,552272737;24,00057983;1,5087675;-65536;-65536;7,199136587;0,696446431
147;KANGOO Z.E. MAXI 2 LUGARES 2P;b240;AC;13577200000;51;58;2,25;;49;0,377144444;-65536;-65536;3,819552631;0,696446431
148;KANGOO Z.E. MAXI 2 LUGARES 2P;b240;AC;13577200000;51;58;2,25;;49;0,377144444;-65536;-65536;3,819552631;0,696446431
149;E-EXPERT;bF6D;AC;13009100000;100;100;0;-0,150000006;0;0,361363889;-65536;-65536;3,620992503;0,650632105
150;KANGOO Z.E. MAXI 2 LUGARES 2P;b86E;AC;1094100000;100;100;0,090000004;;0;0,030391667;-65536;-65536;2,783978004;0,696446431
151;KANGOO Z.E. MAXI 2 LUGARES 2P;b867;AC;5415900000;98;99;0,680000007;-0,223863631;2;0,150441667;-65536;-65536;3,142506448;0,696446431
152;KANGOO Z.E. MAXI 2 LUGARES 2P;b867;AC;5415900000;98;99;0,680000007;-0,223863631;2;0,150441667;-65536;-65536;3,142506448;0,696446431
153;KANGOO Z.E. MAXI 2 LUGARES 2P;bE68;AC;2628200000;100;100;0,150000006;-4,505681992;0;0,073005556;-65536;-65536;2,91124407;0,696446431
154;KANGOO Z.E. MAXI 2 LUGARES 2P;bE68;AC;2628200000;100;100;0,150000006;-4,505681992;0;0,073005556;-65536;-65536;2,91124407;0,696446431
155;KANGOO Z.E. MAXI 2 LUGARES 2P;bE67;AC;2416570000;100;100;0,170000002;-1,128409147;0;0,067126944;-65536;-65536;2,893687641;0,696446431
156;KANGOO Z.E. MAXI 2 LUGARES 2P;b235;AC;21797330000;74;87;3,839999914;;26;0,605481389;-65536;-65536;4,501479241;0,696446431
157;KANGOO Z.E. MAXI 2 LUGARES 2P;b235;AC;21797330000;74;87;3,839999914;;26;0,605481389;-65536;-65536;4,501479241;0,696446431
158;KANGOO Z.E. MAXI 2 LUGARES 2P;b39E;AC;2145029999;100;100;0,159999996;-0,359090894;0;0,059584167;-65536;-65536;2,871161191;0,696446431
159;KANGOO Z.E. MAXI 2 LUGARES 2P;b39E;AC;2145029999;100;100;0,159999996;-0,359090894;0;0,059584167;-65536;-65536;2,871161191;0,696446431
160;KANGOO Z.E. MAXI 2 LUGARES 2P;b400;AC;19872840000;7;18;3,380000114;-0,194318175;93;0,552023333;-65536;-65536;4,34182715;0,696446431
161;KANGOO Z.E. MAXI 2 LUGARES 2P;b400;AC;19872840000;7;18;3,380000114;-0,194318175;93;0,552023333;-65536;-65536;4,34182715;0,696446431
162;KANGOO Z.E. MAXI 2 LUGARES 2P;b867;AC;4485900000;96;98;0,589999974;-0,222727269;4;0,124608333;-65536;-65536;3,065355388;0,696446431
163;KANGOO Z.E. MAXI 2 LUGARES 2P;b867;AC;4485900000;96;98;0,589999974;-0,222727269;4;0,124608333;-65536;-65536;3,065355388;0,696446431
164;JAC IEV1200T AT 4X2 2P;b45E;DC;28630000;100;100;0;;0;0,000795278;-65536;-65536;-0,016389881;0,438444424
165;JAC IEV1200T AT 4X2 2P;b45E;DC;28630000;100;100;0;;0;0,000795278;-65536;-65536;-0,016389881;0,438444424
166;KANGOO Z.E. MAXI 5 LUGARES 2P;bE94;AC;1547470000;81;82;0,230000004;;19;0,042985278;-65536;-65536;-65536;-65536
167;KANGOO Z.E. MAXI 5 LUGARES 2P;bE94;AC;1547470000;81;82;0,230000004;;19;0,042985278;-65536;-65536;-65536;-65536
168;KANGOO Z.E. MAXI 2 LUGARES 2P;b86B;AC;1127770000;100;100;0,090000004;-0,8125;0;0,031326944;-65536;-65536;2,786771204;0,696446431
169;E-JUMPY;bC86;AC;63447770000;95,375;99;4,46999979;-1,156818151;4,625;1,762438056;-65536;-65536;8,687908941;0,716507305
170;JAC IEV1200T AT 4X2 2P;b3DE;DC;50400000;100;100;0;;0;0,0014;-65536;-65536;-0,009887524;0,438444424
171;KANGOO Z.E. MAXI 2 LUGARES 2P;b240;AC;20357630000;40;51;3,359999895;-0,713636339;60;0,565489722;-65536;-65536;4,382044422;0,696446431
172;KANGOO Z.E. MAXI 2 LUGARES 2P;b240;AC;20357630000;40;51;3,359999895;-0,713636339;60;0,565489722;-65536;-65536;4,382044422;0,696446431
173;KANGOO Z.E. MAXI 2 LUGARES 2P;b3C8;AC;160400000;90;90;0;;10;0,004455556;-65536;-65536;2,706519998;0,696446431
174;KANGOO Z.E. MAXI 2 LUGARES 2P;b3C8;AC;160400000;90;90;0;;10;0,004455556;-65536;-65536;2,706519998;0,696446431
