ID,ModeloCarro,DeviceId,ChargeType,DurationTicks,StartStateOfCharge,EndStateOfCharge,MeasuredBatteryEnergyInKwh,PeakPowerKw,DeltaSOC,DurationHours,valor_predito,confianca,MeasuredBatteryEnergyInKwh_Predict,Hit_Rate
28,KANGOO Z.E. MAXI 2 LUGARES 2P,b712,AC,77833430000,67.00309753417969,80.0,3.869999885559082,-0.6238636374473572,32.99690246582031,2.162039722222222,-65536,-65536,9.150129287858258,0.6964464313771691
29,E-EXPERT,bF24,AC,19077730000,56.875,58.25,0.75,-0.4579545557498932,43.125,0.5299369444444444,-65536,-65536,4.1297425769533636,0.6506321049548976
30,E-JUMPY,bC85,AC,62623000000,34.125,42.625,4.960000038146973,-0.4022727310657501,65.875,1.7395277777777778,-65536,-65536,8.609013234998168,0.7165073048095479
31,E-JUMPY,bC85,AC,62623000000,34.125,42.625,4.960000038146973,-0.4022727310657501,65.875,1.7395277777777778,-65536,-65536,8.609013234998168,0.7165073048095479
32,KANGOO Z.E. MAXI 2 LUGARES 2P,b10F1,AC,43330400000,83.0,100.0,6.25,-0.3454545438289642,17.0,1.2036222222222221,-65536,-65536,6.287822453201503,0.6964464313771691
33,KANGOO Z.E. MAXI 2 LUGARES 2P,b11AA,AC,34515770000,86.0,100.0,5.239999771118164,-0.6545454263687134,14.0,0.9587713888888889,-65536,-65536,5.5565772352026634,0.6964464313771691
34,PARTNER RAPID BUSINESS PACK - MOTOR 1.4,b101A,AC,71530000,100.0,100.0,0.0,-0.1500000059604644,0.0,0.0019869444444444444,-65536,-65536,-65536.0,-65536.0
35,JAC IEV1200T AT 4X2 2P,b738,DC,48998400000,59.0,100.0,42.58000183105469,,41.0,1.3610666666666666,-65536,-65536,14.610110946587604,0.4384444242690484
36,JAC IEV1200T AT 4X2 2P,b738,DC,66900000,59.0,59.0,0.0,-1.156000018119812,41.0,0.0018583333333333334,-65536,-65536,-0.004959233701852767,0.4384444242690484
37,E-EXPERT,bF26,AC,639400000,100.0,100.0,0.0099999997764825,-2.555681705474853,0.0,0.01776111111111111,-65536,-65536,2.584006266453575,0.6506321049548976
38,PARTNER RAPID BUSINESS PACK - MOTOR 1.4,b101A,AC,990400000,100.0,100.0,0.0,-0.1500000059604644,0.0,0.02751111111111111,-65536,-65536,-65536.0,-65536.0
39,PARTNER RAPID BUSINESS PACK - MOTOR 1.4,b101A,AC,5703130000,100.0,100.0,0.0,-0.5522727370262146,0.0,0.15842027777777778,-65536,-65536,-65536.0,-65536.0
40,KANGOO Z.E. MAXI 2 LUGARES 2P,b1129,AC,9767500000,98.0,100.0,1.059999942779541,-0.2249999940395355,2.0,0.27131944444444445,-65536,-65536,3.503507044934426,0.6964464313771691
41,KANGOO Z.E. MAXI 2 LUGARES 2P,b1129,AC,9767500000,98.0,100.0,1.059999942779541,-0.2249999940395355,2.0,0.27131944444444445,-65536,-65536,3.503507044934426,0.6964464313771691
42,E- SCUDO 4P,b1208,AC,447800000,94.0,94.0,0.0399999991059303,-0.5511363744735718,6.0,0.012438888888888888,-65536,-65536,2.085002720708588,0.7484046965202705
43,E- SCUDO 4P,b1208,AC,447800000,94.0,94.0,0.0399999991059303,-0.5511363744735718,6.0,0.012438888888888888,-65536,-65536,2.085002720708588,0.7484046965202705
44,E-JUMPY,b101E,AC,19601670000,51.625,54.375,1.5199999809265137,-0.0909090936183929,48.375,0.5444908333333334,-65536,-65536,4.493686289036867,0.7165073048095479
45,E-JUMPY,b101E,AC,19601670000,51.625,54.375,1.5199999809265137,-0.0909090936183929,48.375,0.5444908333333334,-65536,-65536,4.493686289036867,0.7165073048095479
46,E- SCUDO 4P,b11CF,AC,507470000,100.0,100.0,0.0,-0.1522727310657501,0.0,0.01409638888888889,-65536,-65536,2.0900664858850146,0.7484046965202705
47,E- SCUDO 4P,b11CF,AC,507470000,100.0,100.0,0.0,-0.1522727310657501,0.0,0.01409638888888889,-65536,-65536,2.0900664858850146,0.7484046965202705
48,KANGOO Z.E. MAXI 2 LUGARES 2P,bE74,AC,66162870000,25.0,43.0,5.489999771118164,-0.3920454680919647,75.0,1.8378575,-65536,-65536,8.181961458764068,0.6964464313771691
49,KANGOO Z.E. MAXI 2 LUGARES 2P,bE74,AC,66162870000,25.0,43.0,5.489999771118164,-0.3920454680919647,75.0,1.8378575,-65536,-65536,8.181961458764068,0.6964464313771691
50,ZOE,b10F8,DC,10861830000,22.744312286376957,47.84497833251953,0.0,-45.09099960327149,77.25568771362305,0.3017175,-65536,-65536,-65536.0,-65536.0
51,ZOE,b10F8,DC,10861830000,22.744312286376957,47.84497833251953,0.0,-45.09099960327149,77.25568771362305,0.3017175,-65536,-65536,-65536.0,-65536.0
52,KANGOO Z.E. MAXI 2 LUGARES 2P,b40F,AC,141750270000,30.0,99.0,22.270000457763672,-0.1340909153223037,70.0,3.9375075,-65536,-65536,14.452550784801057,0.6964464313771691
