"ModeloCarro","id","GeotabId","ChargeIsEstimated","ChargeType","StartTime","DeviceId","DurationTicks","EndStateOfCharge","EnergyConsumedKwh","EnergyUsedSinceLastChargeKwh","Latitude","Longitude","MaxACVoltage","MeasuredBatteryEnergyInKwh","MeasuredBatteryEnergyOutKwh","MeasuredOnBoardChargerEnergyInKwh","MeasuredOnBoardChargerEnergyOutKwh","PeakPowerKw","StartStateOfCharge","TripStop","Version","RecordCreationTimeUtc"
"JAC iEV1200T AT 4x2 2P","3095","a4zB6usjh3U2dEbGtUtM8KA",False,"DC","2024-04-10 17:55:26","b2E6","65570000","39.5","0","0","-22.91130828857422","-47.10051727294922",NULL,"0","0","0","0",NULL,"39.5","2024-04-10 17:53:48.127","2292381","2024-04-10 20:16:55.731911"
"JAC iEV1200T AT 4x2 2P","1517","aspBzQQvFp0G4UZ0VdJbl5Q",True,"AC","2024-04-10 17:53:16","b2E8","7233900000","70.5","1.3409091234207153","29.3700008392334","-22.911128997802734","-47.10041427612305",NULL,"1.1799999475479126","0","0","0","-0.5659090876579285","69","2024-04-10 17:52:39","2290986","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 2 Lugares 2P","1360","aFwnbdq-wU0q-yUWwR1qPSg",True,"AC","2024-04-10 17:49:45","b114F","229770000","63","0.011363636702299118","4.070000171661377","-22.911359786987305","-47.10051727294922",NULL,"0.009999999776482582","0","0","0","-1.5647727251052856","63","2024-04-10 17:47:46","2290991","2024-04-10 20:03:05.580012"
"Kangoo Z.E. MAXI 2 Lugares 2P","3089","alsvET6P-BEaLgySOLxVNIw",True,"AC","2024-04-10 17:49:45","b114F","229770000","63","0.011363636702299118","4.070000171661377","-22.911359786987305","-47.10051727294922",NULL,"0.009999999776482582","0","0","0","-1.5647727251052856","63","2024-04-10 17:47:46","2292378","2024-04-10 20:16:55.731911"
"JAC iEV1200T AT 4x2 2P","1388","asU0A6bE3D0KmkjHRVDatfQ",True,"AC","2024-04-10 17:23:49","b2E5","49360730000","67.5","8.818181991577148","0","-22.911256790161133","-47.100467681884766",NULL,"7.760000228881836","0","0","0","-0.25340908765792847","59.5","2024-04-10 17:20:27","2291003","2024-04-10 20:03:05.580012"
"JAC iEV1200T AT 4x2 2P","3102","a9nUh6ouRekqTOML-f1f3NQ",True,"AC","2024-04-10 17:23:49","b2E5","49360730000","67.5","8.818181991577148","0","-22.911256790161133","-47.100467681884766",NULL,"7.760000228881836","0","0","0","-0.25340908765792847","59.5","2024-04-10 17:20:27","2292390","2024-04-10 20:17:26.21686"
"JAC iEV1200T AT 4x2 2P","791","a40YdwfW2OUyuFLiMyj1fUg",False,"DC","2024-04-10 17:23:26","b2E5","70270000","59.5","0","38.540000915527344","-22.911256790161133","-47.100467681884766",NULL,"0","0","0","0","-1.0490000247955322","59.5","2024-04-10 17:20:27","2291002","2024-04-10 20:03:05.580012"
"JAC iEV1200T AT 4x2 2P","3103","axTJ-rVxuj0CoNNMgEqzl2w",False,"DC","2024-04-10 17:23:26","b2E5","70270000","59.5","0","38.540000915527344","-22.911256790161133","-47.100467681884766",NULL,"0","0","0","0","-1.0490000247955322","59.5","2024-04-10 17:20:27","2292389","2024-04-10 20:17:26.21686"
"E-Jumpy","1987","abs49hsBz706bkEUhLEXM2A",True,"AC","2024-04-10 17:10:10","b952","33945830000","97.87326049804688","4.261363506317139",NULL,"-25.473356246948242","-49.24641418457031",NULL,"3.75","0","0","0","-0.5522727370262146","93.375","2024-04-09 23:32:10.127","2290989","2024-04-10 20:03:05.580012"
"Kangoo Z.E. Maxi 2 Lugares 2p","3240","a5uJB3OBMB0yL1VrHcEtaXQ",True,"AC","2024-04-10 17:09:21","b1288","88605830000","100","16.397727966308594","0.009999999776482582","-23.51173210144043","-46.74383544921875",NULL,"14.430000305175781","0","0","0","-0.22499999403953552","55","2024-04-10 17:06:36","2292524","2024-04-10 20:23:31.827391"
"Kangoo Z.E. Maxi 2 Lugares 2p","3239","a4ckSDbou5U2WwVO3CJomGw",True,"AC","2024-04-10 17:07:12","b1288","18600000","55","0","9.859999656677246","-23.51173210144043","-46.74383544921875",NULL,"0","0","0","0","-2.1522727012634277","55","2024-04-10 17:06:36","2292523","2024-04-10 20:23:31.827391"
"Kangoo Z.E. MAXI 2 Lugares 2P","3006","aTi_7eTM1YUSkS_3QPmNnwQ",True,"AC","2024-04-10 17:06:32","b712","77833430000","80","4.3977274894714355","10.760000228881836","-23.153228759765625","-45.900108337402344",NULL,"3.869999885559082","0","0","0","-0.6238636374473572","67.00309753417969","2024-04-10 17:03:40","2292311","2024-04-10 20:09:18.844365"
